日期,单位净值,累计净值,日增长率
2026-01-29,3.5500,3.5500,-0.59
2026-01-28,3.5710,3.5710,-1.08
2026-01-27,3.6100,3.6100,-0.44
2026-01-26,3.6260,3.6260,-0.71
2026-01-23,3.6520,3.6520,0.63
2026-01-22,3.6290,3.6290,1.06
2026-01-21,3.5910,3.5910,0.98
2026-01-20,3.5560,3.5560,0.31
2026-01-19,3.5450,3.5450,1.63
2026-01-16,3.4880,3.4880,0.09
2026-01-15,3.4850,3.4850,0.46
2026-01-14,3.4690,3.4690,0.29
2026-01-13,3.4590,3.4590,0.03
2026-01-12,3.4580,3.4580,1.38
2026-01-09,3.4110,3.4110,0.92
2026-01-08,3.3800,3.3800,1.68
2026-01-07,3.3240,3.3240,-0.48
2026-01-06,3.3400,3.3400,0.39
2026-01-05,3.3270,3.3270,1.19
2025-12-31,3.2880,3.2880,0.61
2025-12-30,3.2680,3.2680,-0.67
2025-12-29,3.2900,3.2900,0.21
2025-12-26,3.2830,3.2830,-0.79
2025-12-25,3.3090,3.3090,1.07
2025-12-24,3.2740,3.2740,1.02
2025-12-23,3.2410,3.2410,-0.52
2025-12-22,3.2580,3.2580,-0.18
2025-12-19,3.2640,3.2640,2.06
2025-12-18,3.1980,3.1980,1.69
2025-12-17,3.1450,3.1450,0.16
2025-12-16,3.1400,3.1400,-1.66
2025-12-15,3.1930,3.1930,0.66
2025-12-12,3.1720,3.1720,-1.06
2025-12-11,3.2060,3.2060,-2.46
2025-12-10,3.2870,3.2870,-1.02
2025-12-09,3.3210,3.3210,-0.81
2025-12-08,3.3480,3.3480,0.87
2025-12-05,3.3190,3.3190,1.59
2025-12-04,3.2670,3.2670,-1.51
2025-12-03,3.3170,3.3170,-0.75
2025-12-02,3.3420,3.3420,-0.30
2025-12-01,3.3520,3.3520,-0.03
2025-11-28,3.3530,3.3530,1.42
2025-11-27,3.3060,3.3060,1.04
2025-11-26,3.2720,3.2720,-0.85
2025-11-25,3.3000,3.3000,1.44
2025-11-24,3.2530,3.2530,2.04
2025-11-21,3.1880,3.1880,-4.44
2025-11-20,3.3360,3.3360,-0.60
2025-11-19,3.3560,3.3560,-1.93
2025-11-18,3.4220,3.4220,-0.64
2025-11-17,3.4440,3.4440,0.67
2025-11-14,3.4210,3.4210,0.74
2025-11-13,3.3960,3.3960,0.77
2025-11-12,3.3700,3.3700,-0.12
2025-11-11,3.3740,3.3740,0.63
2025-11-10,3.3530,3.3530,0.51
2025-11-07,3.3360,3.3360,0.12
2025-11-06,3.3320,3.3320,0.15
2025-11-05,3.3270,3.3270,0.94
2025-11-04,3.2960,3.2960,0.15
2025-11-03,3.2910,3.2910,1.04
2025-10-31,3.2570,3.2570,1.56
2025-10-30,3.2070,3.2070,-0.74
2025-10-29,3.2310,3.2310,-1.07
2025-10-28,3.2660,3.2660,0.46
2025-10-27,3.2510,3.2510,0.09
2025-10-24,3.2480,3.2480,0.46
2025-10-23,3.2330,3.2330,0.40
2025-10-22,3.2200,3.2200,0.44
2025-10-21,3.2060,3.2060,2.17
2025-10-20,3.1380,3.1380,1.98
2025-10-17,3.0770,3.0770,-1.00
2025-10-16,3.1080,3.1080,-0.89
2025-10-15,3.1360,3.1360,0.87
2025-10-14,3.1090,3.1090,-0.06
2025-10-13,3.1110,3.1110,-0.10
2025-10-10,3.1140,3.1140,0.91
2025-10-09,3.0860,3.0860,-0.03
2025-09-30,3.0870,3.0870,0.03
2025-09-29,3.0860,3.0860,1.21
2025-09-26,3.0490,3.0490,0.49
2025-09-25,3.0340,3.0340,-0.82
2025-09-24,3.0590,3.0590,2.03
2025-09-23,2.9980,2.9980,-1.15
2025-09-22,3.0330,3.0330,-0.49
2025-09-19,3.0480,3.0480,-0.81
2025-09-18,3.0730,3.0730,-2.04
2025-09-17,3.1370,3.1370,-0.03
2025-09-16,3.1380,3.1380,1.49
2025-09-15,3.0920,3.0920,-0.23
2025-09-12,3.0990,3.0990,-0.55
2025-09-11,3.1160,3.1160,0.58
2025-09-10,3.0980,3.0980,0.45
2025-09-09,3.0840,3.0840,-0.61
2025-09-08,3.1030,3.1030,1.97
2025-09-05,3.0430,3.0430,1.50
2025-09-04,2.9980,2.9980,0.84
2025-09-03,2.9730,2.9730,-2.43
2025-09-02,3.0470,3.0470,-1.04
2025-09-01,3.0790,3.0790,1.28
2025-08-29,3.0400,3.0400,-1.01
2025-08-28,3.0710,3.0710,-0.81
2025-08-27,3.0960,3.0960,-3.49
2025-08-26,3.2080,3.2080,1.10
2025-08-25,3.1730,3.1730,0.13
2025-08-22,3.1690,3.1690,-0.50
2025-08-21,3.1850,3.1850,0.22
2025-08-20,3.1780,3.1780,0.82
2025-08-19,3.1520,3.1520,1.42
