基金代码,日期,单位净值,累计净值,日涨跌幅
023350,2026-02-11,3.721,3.721,0.0
023350,2026-02-10,3.721,3.721,0.13
023350,2026-02-09,3.716,3.716,1.53
023350,2026-02-06,3.66,3.66,0.69
023350,2026-02-05,3.635,3.635,-0.03
023350,2026-02-04,3.636,3.636,0.69
023350,2026-02-03,3.611,3.611,1.63
023350,2026-02-02,3.553,3.553,-1.22
023350,2026-01-30,3.597,3.597,1.32
023350,2026-01-29,3.55,3.55,-0.59
023350,2026-01-28,3.571,3.571,-1.08
023350,2026-01-27,3.61,3.61,-0.44
023350,2026-01-26,3.626,3.626,-0.71
023350,2026-01-23,3.652,3.652,0.63
023350,2026-01-22,3.629,3.629,1.06
023350,2026-01-21,3.591,3.591,0.98
023350,2026-01-20,3.556,3.556,0.31
023350,2026-01-19,3.545,3.545,1.63
023350,2026-01-16,3.488,3.488,0.09
023350,2026-01-15,3.485,3.485,0.46
023350,2026-01-14,3.469,3.469,0.29
023350,2026-01-13,3.459,3.459,0.03
023350,2026-01-12,3.458,3.458,1.38
023350,2026-01-09,3.411,3.411,0.92
023350,2026-01-08,3.38,3.38,1.68
023350,2026-01-07,3.324,3.324,-0.48
023350,2026-01-06,3.34,3.34,0.39
023350,2026-01-05,3.327,3.327,1.19
023350,2025-12-31,3.288,3.288,0.61
023350,2025-12-30,3.268,3.268,-0.67
023350,2025-12-29,3.29,3.29,0.21
023350,2025-12-26,3.283,3.283,-0.79
023350,2025-12-25,3.309,3.309,1.07
023350,2025-12-24,3.274,3.274,1.02
023350,2025-12-23,3.241,3.241,-0.52
023350,2025-12-22,3.258,3.258,-0.18
023350,2025-12-19,3.264,3.264,2.06
023350,2025-12-18,3.198,3.198,1.69
023350,2025-12-17,3.145,3.145,0.16
023350,2025-12-16,3.14,3.14,-1.66
023350,2025-12-15,3.193,3.193,0.66
023350,2025-12-12,3.172,3.172,-1.06
023350,2025-12-11,3.206,3.206,-2.46
023350,2025-12-10,3.287,3.287,-1.02
023350,2025-12-09,3.321,3.321,-0.81
023350,2025-12-08,3.348,3.348,0.87
023350,2025-12-05,3.319,3.319,1.59
